facility_id,facility_name,facility_type,capacity,region,licence_issue_date,inspection_date,gps_location,remarks,latitude,longitude
HF0000,Burgess-Ingram Medical Center,community health center,250,st. lucy,2021-04-01,2024-03-08,13085765875331,missing,13.08576,-58.75331
033477,Collins Inc,hospital,0,st. peter,2024-03-28,2023-04-17,58840011287196,good,12.87196,-58.84001
2,Butler-Leon Clinic,hospital,117,st. james,2016-02-18,2022-12-30,58823071300952,good,13.00952,-58.82307
2,Butler-Leon Clinic,hospital,117,st. james,2016-02-18,2022-12-30,58823071300952,good,13.00952,-58.82307
HF0003,Powell Morales and Butler Infirmary,health center,179,st. lucy,2020-11-21,2024-07-03,12772935904279,followup ,12.77293,-59.04279
00004,Williams Woods and Bradley Polyclinic,hospital,0,st. andrew,2021-04-17,2024-01-31,131243585150,missing,13.1243,-58.515
missing,May and Sons Medical Center,polyclinic,10,st. peter,2016-02-17,2018-01-01,132659038,followup ,13.26,-59.03
00006,Herrera-Taylor-and-Sanchez,health center,10,st. andrew,2021-06-11,2018-03-22,131485921,,13.14,-85.92
007,Wagner-Franklin Health Centre,clinic,461,st. james,2018-05-18,2019-07-31,59109191304721,missing,13.04721,-59.10919
missing,Hurley Jensen and Perkins Hosp,hospital,338,st. lucy,2025-09-09,2025-09-26,13217725918644,reinspection due,13.21772,-59.18644
HF0009,Lee-Macias Polyclinic,community health center,10,st. andrew,2019-11-13,2024-08-15,125344585913,reinspection due,12.5344,-58.5913
missing,White-Wilcox-and-Martin Medical Center,polyclinic,408,st. andrew,2024-01-18,2019-12-16,12719675888816,,12.71967,-58.88816
011,Brown-Wilson,community health center,27,christ church,2020-09-27,2019-03-13,13141959218,reinspection due,13.141,-95.921
12,Newton-Peters-and-Rivera,community health center,392,christ church,2024-08-23,2023-05-06,59221101322506,missing,13.22506,-59.2211
13,Barr Conley and Mendoza Clinic,polyclinic,0,st. james,2024-08-16,2022-08-01,58879851317264,,13.17264,-58.87985
333db8,Zimmerman and Sons Infirmary,polyclinic,84,st. lucy,2019-02-10,2025-11-18,58912501317008,good,13.17008,-58.9125
015,Martinez Williams and Ellis Polyclinic,hospital,0,st. james,2017-01-07,2023-08-01,125858591320,followup ,12.5858,-59.132
af30f0,Bradley PLC,clinic,0,st. george,2020-08-20,2018-05-16,12512959749,,12.512,-95.974
00017,Wagner LLC,missing,10,christ church,2016-12-09,2023-07-24,13099285888444,,13.09928,-58.88444
6f82f6,Case and Sons Polyclinic,polyclinic,166,st. james,2018-09-10,2024-09-25,13074095884039,missing,13.07409,-58.84039
